,where,price,color,diameter,thickness,angle,cut,clarity,caratwt
1,1,440,4,21,7.56,27.25,5,0.444,1.095
2,1,450,4,21.9,7.16,30.25,5,0.459,0.95
3,1,325,3,19.9,5.22,29,3,0.393,0.785
4,1,920,5,23.1,4.86,22.25,7,0.492,0.97
5,1,430,4,21.2,4.92,21.5,5,0.45,0.863
6,1,245,3,19.2,4.7,28.5,3,0.342,0.875
7,1,450,4,21,4.18,30.25,4,0.42,0.897
8,1,800,4,21.5,6.2,23.25,6,0.468,1.14
9,1,320,3,20.1,4.58,28,5,0.345,0.74
10,1,305,3,19.6,6.66,39.5,6,0.438,1.015
11,1,370,3,20.6,5.72,23,3,0.444,0.945
12,1,570,4,21.1,2.4,27.25,3,0.387,0.825
13,1,530,4,21.1,4.96,13.75,8,0.438,0.88
14,1,310,3,20.2,4.46,23.75,8,0.39,0.905
15,1,400,3,19,2.86,34.75,4,0.357,0.845
16,1,460,3,19.6,4.5,20.5,10,0.387,1.217
17,1,380,3,19.1,4.94,19.75,6,0.42,0.875
18,1,280,2,18.4,3.92,21.5,4,0.336,0.855
19,1,330,3,20.9,3.56,18,5,0.423,0.855
20,1,300,3,19.5,4.26,23.5,7,0.393,1.045
21,1,275,3,19.2,3.22,18.5,4,0.402,0.865
22,1,300,2,18.1,5.06,26.25,5,0.441,1.123
23,1,480,4,21.1,3.3,12.25,5,0.438,1.1
24,1,285,2,18.9,3.48,31.75,3,0.363,0.749
25,1,305,3,19.4,4.18,21,3,0.378,0.94
26,1,360,2,17.7,3.88,16.25,8,0.399,0.931
27,1,500,3,20.6,2.94,18,6,0.447,1.063
28,1,320,2,18.9,4.48,27.5,6,0.426,1.097
29,1,260,3,19.9,2.44,26.75,4,0.399,0.7
30,1,280,2,18.4,1.82,28.25,3,0.345,0.74
31,1,260,2,18.6,3.4,28.5,3,0.387,0.825
32,1,280,2,17.6,4.48,24.25,3,0.357,0.945
33,2,400,3,20.5,5.04,22,4,0.432,1.11
34,2,260,3,20.2,4.96,21.75,3,0.387,0.915
35,2,260,3,19,5.3,24.5,6,0.357,0.925
36,2,260,2,18.7,6.12,32.25,3,0.378,0.9
37,2,300,3,19.6,4.68,28.5,3,0.402,1.025
38,2,245,2,18.9,3.68,15,4,0.363,0.805
39,2,550,3,19.7,3.58,17.25,5,0.399,1.063
40,2,300,3,19.9,3.38,17.75,4,0.429,0.8
41,2,265,2,17.8,3.62,17.75,5,0.345,0.895
42,2,360,3,19.6,4.04,23.5,5,0.369,0.887
43,2,275,4,21,5.04,30.25,5,0.357,0.785
44,2,195,2,18.6,3.72,13.25,7,0.342,0.925
45,2,265,2,18.3,2.4,14,6,0.375,0.963
46,2,370,3,20.1,2.06,19.75,3,0.387,0.765
47,2,205,2,18.8,1.86,18.25,4,0.312,0.765
48,2,200,2,17.7,3.26,20.5,3,0.282,0.72
49,2,195,2,17.2,1.88,26.5,3,0.303,0.66
50,3,350,5,24,10.04,41.25,3,0.507,1.023
51,3,290,5,23.3,12.66,53.5,4,0.588,1.279
52,3,240,4,22.8,6.52,35,3,0.465,0.99
53,3,400,5,23.5,8.5,36.25,2,0.522,1.061
54,3,290,5,23.2,5.54,28,2,0.507,1.071
55,3,360,4,22.3,7.32,27.75,2,0.525,0.995
56,3,305,4,21.8,6.9,27.75,3,0.438,1.087
57,3,385,4,22.7,7.82,46.25,3,0.468,0.947
58,3,690,5,24.8,5.78,26.5,2,0.561,0.975
59,3,330,4,22.8,4.62,35.25,2,0.507,1.125
60,3,380,4,22.4,3.66,28.75,2,0.486,1.015
61,3,370,4,21.2,6.66,36.25,4,0.477,1.127
62,3,310,4,22.3,7.86,44.25,2,0.483,1.16
63,3,365,5,23,6.1,42,2,0.501,0.901
64,3,295,4,22.9,5.74,37.5,2,0.465,0.781
65,3,440,4,21.8,6.52,36.25,3,0.474,0.85
66,3,370,5,23.1,4.28,27,2,0.465,0.91
67,3,310,4,21.2,6.14,37,2,0.465,0.895
68,3,250,3,20.8,5.8,36.25,2,0.474,0.891
69,3,270,4,22.7,6.58,38.75,3,0.483,0.97
70,3,345,4,21.4,5.68,28,2,0.48,1.03
71,3,350,3,20.7,5.24,29,2,0.429,0.855
72,3,290,4,21.4,4.94,33.5,2,0.456,0.829
73,3,240,3,19.8,4.82,27,3,0.438,0.85
74,3,285,3,20,3.56,27,2,0.417,0.75
75,3,250,3,20.1,4.8,27.5,2,0.447,0.939
76,3,300,4,21.7,4.84,26.5,3,0.453,0.833
